Activity ID,Assessment,Category,Skill Focus,Activity Type,Activity Title,Activity Description,Time (min),IB Criterion,Style Preference,Text Type(s),Text / Work Focus,Difficulty,Location,Format,Session Use,Exam Proximity,Materials,Energy Level,Support Level,Helps With,Why It Helps,Success Criteria,If You Are Stuck
P1-0001,Paper 1,Strategic Reading,Literal Comprehension,Skill Drill,Observation Sprint,"Choose a visual text. List 15 literal observations without interpretation (colours, sizes, positions, people, objects). No inference allowed. Timer: 3 minutes.",3,A,"Visual, Logical","Advertisement, Image, Photograph",,Foundational,At Home,Individual,Warm-Up,Any Time,"Timer, Pen & Paper",Low — fine when tired,Highly Scaffolded — steps are laid out for you,Time Management,"Sharpens the fast, accurate first read that Paper 1 rewards — seeing what a text is doing before you write a word.","You can state the text's purpose, audience, and one key technique without rereading.","Cover the text. Ask only: who made this, for whom, and what do they want me to feel? Then look again."
P1-0002,Paper 1,Strategic Reading,Literal Comprehension,Skill Drill,Text Feature Inventory,"Read a written text. Create a table: Font type, Font size changes, Bold/italic use, Line breaks, Paragraph length. How does formatting affect reading?",2,A,"Visual, Reading, Writing, Logical","Blog Post, Article, Any Written Text",,Foundational,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Highly Scaffolded — steps are laid out for you,Structure & Planning,"Sharpens the fast, accurate first read that Paper 1 rewards — seeing what a text is doing before you write a word.","You can state the text's purpose, audience, and one key technique without rereading.","Cover the text. Ask only: who made this, for whom, and what do they want me to feel? Then look again."
P1-0003,Paper 1,Strategic Reading,Inference & Implication,Technique Drill,Unstated Meanings,Read a passage. Write three things the text implies but doesn't state directly. Find evidence for each implication.,3,A,"Reading, Writing, Logical, Analytical",Any,,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,Quotations & Evidence,"Sharpens the fast, accurate first read that Paper 1 rewards — seeing what a text is doing before you write a word.","You can state the text's purpose, audience, and one key technique without rereading.","Cover the text. Ask only: who made this, for whom, and what do they want me to feel? Then look again."
P1-0004,Paper 1,Strategic Reading,Tone & Register Recognition,Technique Drill,Tone Shifting,"Find a text where tone changes mid-way (e.g., casual then serious). Mark where the shift happens. How does word choice signal the shift?",3,A,"Reading, Writing, Verbal, Logical","Opinion Column, Article, Speech",,Developing,At Home,Individual,Warm-Up,Any Time,Device,Low — fine when tired,Highly Scaffolded — steps are laid out for you,Analysis Depth,"Sharpens the fast, accurate first read that Paper 1 rewards — seeing what a text is doing before you write a word.","You can state the text's purpose, audience, and one key technique without rereading.","Cover the text. Ask only: who made this, for whom, and what do they want me to feel? Then look again."
P1-0005,Paper 1,Strategic Reading,Purpose & Audience Identification,Skill Drill,Purpose Detective,"Read a text. Write: What does the creator want the audience to DO, THINK, or FEEL? Is there a hidden purpose different from the stated one?",2,A,"Reading, Writing, Logical, Analytical",Any,,Foundational,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Highly Scaffolded — steps are laid out for you,Analysis Depth,"Sharpens the fast, accurate first read that Paper 1 rewards — seeing what a text is doing before you write a word.","You can state the text's purpose, audience, and one key technique without rereading.","Cover the text. Ask only: who made this, for whom, and what do they want me to feel? Then look again."
P1-0006,Paper 1,Strategic Reading,Context & Background Knowledge,Skill Drill,Context Activation,Choose a text. List five pieces of background knowledge you need to understand it fully. Research one piece. How does context deepen understanding?,3,A,"Reading, Writing, Kinesthetic, Logical",Any,,Foundational,At Home,Individual,Warm-Up,Any Time,"Device, Pen & Paper",Low — fine when tired,Highly Scaffolded — steps are laid out for you,Analysis Depth,"Sharpens the fast, accurate first read that Paper 1 rewards — seeing what a text is doing before you write a word.","You can state the text's purpose, audience, and one key technique without rereading.","Cover the text. Ask only: who made this, for whom, and what do they want me to feel? Then look again."
P1-0007,Paper 1,Strategic Reading,Text Type & Genre Recognition,Skill Drill,Genre Identifier,Look at a text (with no labels). Identify genre in 30 seconds. List three genre-specific features you recognised. How are genres organised?,2,A,"Visual, Verbal, Logical",Any,,Foundational,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Highly Scaffolded — steps are laid out for you,Structure & Planning,"Sharpens the fast, accurate first read that Paper 1 rewards — seeing what a text is doing before you write a word.","You can state the text's purpose, audience, and one key technique without rereading.","Cover the text. Ask only: who made this, for whom, and what do they want me to feel? Then look again."
P1-0008,Paper 1,Strategic Reading,Close Reading,Skill Drill,Sentence-by-Sentence,Choose 3 consecutive sentences. Spend one minute on each. Ask: What does this do? What's the tone? What's emphasised? Write one observation per sentence.,3,A,"Reading, Writing, Kinesthetic, Logical",Any,,Developing,At Home,Individual,Warm-Up,Any Time,Pen & Paper,Low — fine when tired,Some Scaffolding — guided but open,Analysis Depth,"Sharpens the fast, accurate first read that Paper 1 rewards — seeing what a text is doing before you write a word.","You can state the text's purpose, audience, and one key technique without rereading.","Cover the text. Ask only: who made this, for whom, and what do they want me to feel? Then look again."
P1-0009,Paper 1,Strategic Reading,Annotation Strategies,Skill Builder,Symbol System Design,"Create five annotation symbols (underline, bracket, asterisk, arrow, circle). What does each mark? Annotate a new passage using your system.",3,A,"Visual, Kinesthetic, Logical",Any,,Foundational,At Home,Individual,Warm-Up,Any Time,Printed Text or Screen,Low — fine when tired,Highly Scaffolded — steps are laid out for you,Analysis Depth,"Sharpens the fast, accurate first read that Paper 1 rewards — seeing what a text is doing before you write a word.","You can state the text's purpose, audience, and one key technique without rereading.","Cover the text. Ask only: who made this, for whom, and what do they want me to feel? Then look again."
P1-0010,Paper 1,Strategic Reading,Bias Identification,Technique Drill,Bias Detection,"Compare two texts covering the same event from different sources. Identify: loaded language, selected details, omissions, framing. What biases appear?",5,A,"Reading, Writing, Logical, Analytical","News Article, Opinion Column, Article",,Developing,At Home,Individual,Core Activity,Any Time,Pen & Paper,Medium — normal study energy,Some Scaffolding — guided but open,Comparative Linking,"Sharpens the fast, accurate first read that Paper 1 rewards — seeing what a text is doing before you write a word.","You can state the text's purpose, audience, and one key technique without rereading.","Cover the text. Ask only: who made this, for whom, and what do they want me to feel? Then look again."
