Object Name,Game Location,Pixel Sprite (in-game),Description of the Object in the Real World (and its meaning for knowledge and culture),Connection to TOK Knowledge Questions (with suggested answers and reasons),Learn More (MLA),"Components When Dissected (claims, fact, materials)",Icon,Rarity,Concept,Framework Element,Subject,In-Game Effect,Sprite Template,Object ID
"Ishango Bone, Congo Basin, c. 20,000 BCE",Chamber of Number: locked chamber treasure (needs its keys),Generated in-game (template: bone),"Fishers by Lake Edward, in today's Democratic Republic of the Congo, carved rows of notches into a baboon fibula over 20,000 years ago. Belgian geologist Jean de Heinzelin found it at Ishango in 1950. Many historians of mathematics treat it as one of humanity's oldest counting artifacts, while others urge caution about reading modern arithmetic into ancient marks.","KQ: How can anyone know what a mark on a bone meant to the hand which carved it?

Suggested answer 1: Patterned groupings invite a mathematical reading. The notches cluster in ways some scholars read as tallies or a lunar count, so the pattern itself serves as evidence of intent.

Suggested answer 2: Intent may stay out of reach. Other scholars read the notches as grip aids, so the same marks support rival explanations and certainty stays low.","""Ishango Bone."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Ishango_bone.","Claim card 1: Patterned groupings invite a mathematical reading. | Claim card 2: Intent may stay out of reach. | Fact card: Fishers by Lake Edward, in today's Democratic Republic of the Congo, carved rows of notches into a baboon fibula over 20,000 years ago. | Materials: 2 Bone, 1 Resin",🦴,Legendary,Certainty,Scope,Mathematics,Carried: grants the Dowse ability,bone,v37_ch_door_math
"Rømer's Meridian Circle, Copenhagen, 1704",Chamber of Evidence: locked chamber treasure (needs its keys),Generated in-game (template: telescope),"Danish astronomer Ole Rømer, famous for first measuring the speed of light in 1676, built a meridian circle in Copenhagen to time stars crossing the north-south line. The design became a standard tool of positional astronomy for two centuries. Observatories set national clocks by such crossings, tying everyday time to the sky.","KQ: How far do instruments decide which facts become visible at all?

Suggested answer 1: An instrument opens a channel and narrows it at once. Rømer's circle tracked star crossings with new precision, so time itself became a measurable object rather than a felt flow.

Suggested answer 2: The observer never fully leaves. Rømer still judged each crossing by eye and ear, so the device sharpened human judgment without replacing it.","""Ole Rømer."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Ole_R%C3%B8mer.","Claim card 1: An instrument opens a channel and narrows it at once. | Claim card 2: The observer never fully leaves. | Fact card: Danish astronomer Ole Rømer, famous for first measuring the speed of light in 1676, built a meridian circle in Copenhagen to time stars crossing the… | Materials: 2 Brass, 1 Charcoal",🔭,Legendary,Evidence,Methods and Tools,Physics,Carried: grants the Lens ability,telescope,v37_ch_door_ns
"Hokusai's Woodblocks for the Great Wave, Edo, 1831",Chamber of Meaning: locked chamber treasure (needs its keys),Generated in-game (template: painting),"Katsushika Hokusai designed Under the Wave off Kanagawa around 1831 as part of his Thirty-six Views of Mount Fuji. Carvers cut his design into cherry woodblocks, and printers pulled thousands of impressions, which sold cheaply in Edo. The image now hangs in museums worldwide as separate prints of the same blocks, complicating every simple idea of an original.","KQ: When thousands of prints leave one set of blocks, where does the original live?

Suggested answer 1: The blocks hold the design, so a case exists for calling them the original. Every print is an impression of their carved surface, and the carver's hand set every line.

Suggested answer 2: Originality can live in the design rather than the object. Hokusai drew the image, carvers cut it, printers inked it, so the print is a team's answer and no single object owns it.","""The Great Wave off Kanagawa."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/The_Great_Wave_off_Kanagawa.","Claim card 1: The blocks hold the design, so a case exists for calling them the original. | Claim card 2: Originality can live in the design rather than the object. | Fact card: Katsushika Hokusai designed Under the Wave off Kanagawa around 1831 as part of his Thirty-six Views of Mount Fuji. | Materials: 2 Pigment, 1 Charcoal",🌊,Epic,Interpretation,Methods and Tools,Visual Arts,Carried: Perspective Token (Interpretation),painting,v37_ch_door_arts
"Champollion's Decipherment Notebook, Paris, 1822",Chamber of Memory: locked chamber treasure (needs its keys),Generated in-game (template: book),"Jean-François Champollion announced the decipherment of Egyptian hieroglyphs in 1822, after years of notebook pages comparing the Rosetta Stone's three scripts with Coptic. His pages show crossed-out attempts, letter grids, and cartouche sketches. The notebooks turned a dead script into a readable archive of three thousand years.","KQ: What separates a decipherment from a guess which happened to hold?

Suggested answer 1: Convergence separates them. Champollion's readings predicted names in cartouches he had never seen, and the predictions kept landing, so the system justified itself beyond any single lucky match.

Suggested answer 2: Method separates them. He cross-checked Coptic, Greek, and demotic versions letter by letter, so each claim carried a public chain of reasons a rival could attack and test.","""Jean-François Champollion."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Jean-Fran%C3%A7ois_Champollion.","Claim card 1: Convergence separates them. | Claim card 2: Method separates them. | Fact card: Jean-François Champollion announced the decipherment of Egyptian hieroglyphs in 1822, after years of notebook pages comparing the Rosetta Stone's… | Materials: 2 Paper, 1 Resin",📓,Legendary,Justification,Methods and Tools,History,Carried: grants the Echo ability,book,v37_ch_door_hist
"Milgram's Shock Generator Panel, Yale, 1961",Chamber of the Living: locked chamber treasure (needs its keys),Generated in-game (template: gem),"Stanley Milgram's obedience experiments at Yale used a fake shock generator with switches labeled up to 450 volts. Volunteers, urged on by a calm experimenter, believed they were shocking a learner in the next room. The results reshaped social psychology and helped create the consent rules and review boards which now govern research on people.","KQ: Can knowledge gained through deception ever justify the method which produced it?

Suggested answer 1: The findings changed how institutions guard against blind obedience, so some argue the insight repaid its cost, since no transparent design could have revealed the same behavior.

Suggested answer 2: Participants left believing they might have harmed a stranger, so others argue the study purchased knowledge with borrowed consciences, and modern ethics boards now refuse the price.","""Milgram Experiment."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Milgram_experiment.","Claim card 1: The findings changed how institutions guard against blind obedience, so some argue the insight repaid its cost, since no transparent design could… | Claim card 2: Participants left believing they might have harmed a stranger, so others argue the study purchased knowledge with borrowed consciences, and modern… | Fact card: Stanley Milgram's obedience experiments at Yale used a fake shock generator with switches labeled up to 450 volts. | Materials: 2 Glass, 1 Charcoal",⚡,Epic,Responsibility,Ethics,Psychology,Carried: Perspective Token (Responsibility),gem,v37_ch_door_hs
"Voyager Golden Record, Master Copy, 1977",Chamber of Themes: locked chamber treasure (needs its keys),Generated in-game (template: coin),"NASA launched two gold-plated copper records aboard the Voyager probes in 1977, carrying greetings, music, and encoded images chosen by a committee led by Carl Sagan. The records now travel beyond the solar system, the farthest human-made objects. Every debate about the playlist doubles as a debate about who speaks for the species.","KQ: Who gets to summarize humanity, and by what right?

Suggested answer 1: A small committee chose the sounds and images, so the record shows one team's 1977 answer, complete with its omissions, and naming the authors keeps the summary useful.

Suggested answer 2: Any summary beats silence across interstellar distance. The committee chose greetings in 55 languages and music from many continents, so breadth served as its own defense.","""Voyager Golden Record."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Voyager_Golden_Record.","Claim card 1: A small committee chose the sounds and images, so the record shows one team's 1977 answer, complete with its omissions, and naming the authors keeps… | Claim card 2: Any summary beats silence across interstellar distance. | Fact card: NASA launched two gold-plated copper records aboard the Voyager probes in 1977, carrying greetings, music, and encoded images chosen by a committee… | Materials: 2 Silver, 1 Resin",🥇,Legendary,Culture,Scope,Philosophy,Carried: grants the Beacon ability,coin,v37_ch_door_themes
"Ramanujan's Lost Notebook, Rediscovered 1976",The Uncounted Room: locked chamber treasure (needs its keys),Generated in-game (template: book),"Srinivasa Ramanujan filled loose pages with formulas in his final year, 1919 to 1920, mostly without proofs. George Andrews found the sheets in a Cambridge library box in 1976, and mathematicians have mined them since, proving entry after entry. The pages keep raising the question of how one mind reached results the field needed a century to justify.","KQ: Do results discovered without proof count as knowledge before the proofs arrive?

Suggested answer 1: Mathematicians spent decades proving the entries true one by one, so the notebook acted as knowledge on credit, trusted because its author's record justified the loan.

Suggested answer 2: A claim without a proof stays a conjecture, whoever wrote it. On this stricter view the notebook held brilliant guesses which became knowledge only as each proof landed.","""Ramanujan's Lost Notebook."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Ramanujan%27s_lost_notebook.","Claim card 1: Mathematicians spent decades proving the entries true one by one, so the notebook acted as knowledge on credit, trusted because its author's record… | Claim card 2: A claim without a proof stays a conjecture, whoever wrote it. | Fact card: Srinivasa Ramanujan filled loose pages with formulas in his final year, 1919 to 1920, mostly without proofs. | Materials: 2 Paper, 1 Gilt",📔,Rare,Justification,Methods and Tools,Mathematics,On finding: +25 Justification insight,book,v37_ch_secret_ma
"Le Grand K, International Prototype Kilogram, Sèvres, 1889",The Unmeasured Room: locked chamber treasure (needs its keys),Generated in-game (template: scale),"From 1889 to 2019, the International Prototype Kilogram, a platinum-iridium cylinder kept at Sèvres near Paris, defined the kilogram for the world. Copies traveled to national labs, and periodic comparisons showed tiny drifts nobody could explain away. The 2019 redefinition tied mass to a fixed constant of physics, ending the reign of the last artifact-based SI unit.","KQ: What does it mean for a measurement to be objective when its standard is one object in one vault?

Suggested answer 1: For 130 years a kilogram meant equality with one platinum cylinder near Paris, so objectivity rested on shared access to a single thing, guarded under three glass bells.

Suggested answer 2: The cylinder itself drifted by micrograms against its own copies, so in 2019 metrologists redefined the kilogram through Planck's constant, trading a guarded object for a law of nature anyone can measure.","""International Prototype of the Kilogram."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/International_Prototype_of_the_Kilogram.","Claim card 1: For 130 years a kilogram meant equality with one platinum cylinder near Paris, so objectivity rested on shared access to a single thing, guarded… | Claim card 2: The cylinder itself drifted by micrograms against its own copies, so in 2019 metrologists redefined the kilogram through Planck's constant, trading… | Fact card: From 1889 to 2019, the International Prototype Kilogram, a platinum-iridium cylinder kept at Sèvres near Paris, defined the kilogram for the world. | Materials: 2 Brass, 1 Wax",⚖️,Epic,Objectivity,Methods and Tools,Physics,Carried: +3 Vigor for trials,scale,v37_ch_secret_ns
"The Flémalle Panels, Unsigned, c. 1430",The Unsigned Room: locked chamber treasure (needs its keys),Generated in-game (template: painting),"Three panels in Frankfurt, painted around 1430 in the early Netherlandish style, carry no signature. Art historians invented the name Master of Flémalle for their maker, later argued over whether he was Robert Campin or a pupil, and the debate continues. The panels show how much of an object's meaning arrives packaged with a name.","KQ: How does not knowing the maker change what a piece is allowed to mean?

Suggested answer 1: Attribution steers value. Scholars built a whole painter, the Master of Flémalle, from style alone, and prices and prestige moved with each new guess about who he was.

Suggested answer 2: Anonymity can free the viewing. Without a biography to lean on, the panels get read through their own choices of light and gesture, so attention returns to the object.","""Robert Campin."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Robert_Campin.","Claim card 1: Attribution steers value. | Claim card 2: Anonymity can free the viewing. | Fact card: Three panels in Frankfurt, painted around 1430 in the early Netherlandish style, carry no signature. | Materials: 2 Pigment, 1 Charcoal",🖼️,Epic,Values,Perspectives,Visual Arts,Carried: Perspective Token (Values),painting,v37_ch_secret_ar
"Hawaiian Mele Wax Cylinders, Honolulu, 1904",The Unwritten Room: locked chamber treasure (needs its keys),Generated in-game (template: coin),"In the early 1900s, collectors recorded Hawaiian chants and songs, mele, onto wax cylinders, some now held by the Bishop Museum in Honolulu. The recordings captured voices from a generation born before annexation. Fragile and playable only a few times, the cylinders raise the archivist's dilemma: each playback both shares and wears away the record.","KQ: Can a recording preserve a tradition, or only one performance of it?

Suggested answer 1: A cylinder freezes a single voice on a single afternoon, so archives hold moments rather than traditions, and living practice keeps the tradition or nothing does.

Suggested answer 2: A frozen moment can still seed a revival. Hawaiian musicians and scholars return to early recordings to recover styles the missionary era suppressed, so the moment serves the living chain.","""Phonograph Cylinder."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Phonograph_cylinder. | ""Bernice Pauahi Bishop Museum."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Bishop_Museum.","Claim card 1: A cylinder freezes a single voice on a single afternoon, so archives hold moments rather than traditions, and living practice keeps the tradition or… | Claim card 2: A frozen moment can still seed a revival. | Fact card: In the early 1900s, collectors recorded Hawaiian chants and songs, mele, onto wax cylinders, some now held by the Bishop Museum in Honolulu. | Materials: 2 Silver, 1 Salt",📀,Legendary,Truth,Perspectives,Music,Carried: grants the Stride ability,coin,v37_ch_secret_hi
